Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_densenet169.onnx,densenet169
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,148400
Conv,7386914816.0,3693457408.0,0,0,0,0,31165696,49304320.0,0
BatchNormalization,0,0,21046432,0,21046432,0,84185728,633600,0
Relu,0,0,0,21046432,0,0,84185728,0,0
MaxPool,0,0,0,1871424,0,0,831744,0,0
Identity,0,0,0,0,0,0,1660576,0,0
Concat,0,0,0,0,0,0,59434880,0,0
AveragePool,0,0,824832,0,0,0,824832,0,0
GlobalAveragePool,0,0,106496,0,0,0,6656,0,0
Reshape,0,0,0,0,0,0,6656,0,0
MatMul,3328999,1664500.0,0,0,0,0,4000,0,0
Add,0,0,1000,0,0,0,0,0,0
Softmax,0,0,1000,0,1000,1000,4000,0,0
