Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_inception_resnetv2.onnx,inception_resnetv2
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Conv,21290688.0,10645344.0,0,0,0,0,1577088,3456.0,0
BatchNormalization,0,0,394272,0,394272,0,1577088,256,0
Relu,0,0,0,394272,0,0,1577088,0,0
Conv,218990592.0,109495296.0,0,0,0,0,1520768,36864.0,0
BatchNormalization,0,0,380192,0,380192,0,1520768,256,0
Relu,0,0,0,380192,0,0,1520768,0,0
Conv,437981184.0,218990592.0,0,0,0,0,3041536,73728.0,0
BatchNormalization,0,0,760384,0,760384,0,3041536,512,0
Relu,0,0,0,760384,0,0,3041536,0,0
MaxPool,0,0,0,1679616,0,0,746496,0,0
Conv,29859840.0,14929920.0,0,0,0,0,933120,20480.0,0
BatchNormalization,0,0,233280,0,233280,0,933120,640,0
Relu,0,0,0,233280,0,0,933120,0,0
Conv,747601920.0,373800960.0,0,0,0,0,2076672,552960.0,0
BatchNormalization,0,0,519168,0,519168,0,2076672,1536,0
Relu,0,0,0,519168,0,0,2076672,0,0
MaxPool,0,0,0,1080000,0,0,480000,0,0
Identity,0,0,0,0,0,0,480000,0,0
Conv,15360000.0,7680000.0,0,0,0,0,160000,49152.0,0
BatchNormalization,0,0,40000,0,40000,0,160000,512,0
Relu,0,0,0,40000,0,0,160000,0,0
Conv,69120000.0,34560000.0,0,0,0,0,240000,221184.0,0
BatchNormalization,0,0,60000,0,60000,0,240000,768,0
Relu,0,0,0,60000,0,0,240000,0,0
Conv,11520000.0,5760000.0,0,0,0,0,120000,36864.0,0
BatchNormalization,0,0,30000,0,30000,0,120000,384,0
Relu,0,0,0,30000,0,0,120000,0,0
AveragePool,0,0,1080000,0,0,0,480000,0,0
Conv,15360000.0,7680000.0,0,0,0,0,160000,49152.0,0
Conv,103680000.0,51840000.0,0,0,0,0,240000,331776.0,0
Conv,96000000.0,48000000.0,0,0,0,0,160000,307200.0,0
Conv,23040000.0,11520000.0,0,0,0,0,240000,73728.0,0
BatchNormalization,0,0,40000,0,40000,0,160000,512,0
BatchNormalization,0,0,60000,0,60000,0,240000,768,0
BatchNormalization,0,0,40000,0,40000,0,160000,512,0
BatchNormalization,0,0,60000,0,60000,0,240000,768,0
Relu,0,0,0,40000,0,0,160000,0,0
Relu,0,0,0,60000,0,0,240000,0,0
Relu,0,0,0,40000,0,0,160000,0,0
Relu,0,0,0,60000,0,0,240000,0,0
Concat,0,0,0,0,0,0,800000,0,0
Conv,12800000.0,6400000.0,0,0,0,0,80000,40960.0,0
BatchNormalization,0,0,20000,0,20000,0,80000,256,0
Relu,0,0,0,20000,0,0,80000,0,0
Conv,17280000.0,8640000.0,0,0,0,0,120000,55296.0,0
BatchNormalization,0,0,30000,0,30000,0,120000,384,0
Relu,0,0,0,30000,0,0,120000,0,0
Conv,34560000.0,17280000.0,0,0,0,0,160000,110592.0,0
