Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_mobilenet_alpha_1.0.onnx,mobilenet_alpha_1.0
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,5388
Conv,21676032.0,10838016.0,0,0,0,0,1605632,3456.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,256,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,401408,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,7225344.0,3612672.0,0,0,0,0,1605632,1152.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,256,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,401408,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,51380224.0,25690112.0,0,0,0,0,3211264,8192.0,0
BatchNormalization,0,0,802816,0,802816,0,3211264,512,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,802816,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,57600
Conv,3612672.0,1806336.0,0,0,0,0,802816,2304.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,512,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,200704,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,51380224.0,25690112.0,0,0,0,0,1605632,32768.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,401408,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,7225344.0,3612672.0,0,0,0,0,1605632,4608.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,401408,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,102760448.0,51380224.0,0,0,0,0,1605632,65536.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,401408,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,57856
Conv,1806336.0,903168.0,0,0,0,0,401408,4608.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,51380224.0,25690112.0,0,0,0,0,802816,131072.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,2048,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,200704,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,3612672.0,1806336.0,0,0,0,0,802816,9216.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,2048,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,200704,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,262144.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,2048,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,200704,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,58368
Conv,903168.0,451584.0,0,0,0,0,200704,9216.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,50176,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,51380224.0,25690112.0,0,0,0,0,401408,524288.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,4096,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1806336.0,903168.0,0,0,0,0,401408,18432.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,4096,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,102760448.0,51380224.0,0,0,0,0,401408,1048576.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,4096,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1806336.0,903168.0,0,0,0,0,401408,18432.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,4096,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,102760448.0,51380224.0,0,0,0,0,401408,1048576.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,4096,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1806336.0,903168.0,0,0,0,0,401408,18432.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,4096,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,102760448.0,51380224.0,0,0,0,0,401408,1048576.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,4096,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
