Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_mobilenetv2_alpha_1.3.onnx,mobilenetv2_alpha_1.3
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,5388
Conv,27095040.0,13547520.0,0,0,0,0,2007040,4320.0,0
BatchNormalization,0,0,501760,0,501760,0,2007040,320,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,501760,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,9031680.0,4515840.0,0,0,0,0,2007040,1440.0,0
BatchNormalization,0,0,501760,0,501760,0,2007040,320,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,501760,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,24084480.0,12042240.0,0,0,0,0,1204224,3840.0,0
BatchNormalization,0,0,301056,0,301056,0,1204224,192,0
Conv,86704128.0,43352064.0,0,0,0,0,7225344,13824.0,0
BatchNormalization,0,0,1806336,0,1806336,0,7225344,1152,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,1806336,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,129600
Conv,8128512.0,4064256.0,0,0,0,0,1806336,5184.0,0
BatchNormalization,0,0,451584,0,451584,0,1806336,1152,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,451584,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,28901376.0,14450688.0,0,0,0,0,401408,18432.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,256,0
Transpose,0,0,0,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,38535168.0,19267584.0,0,0,0,0,2408448,24576.0,0
BatchNormalization,0,0,602112,0,602112,0,2408448,1536,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,602112,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,10838016.0,5419008.0,0,0,0,0,2408448,6912.0,0
BatchNormalization,0,0,602112,0,602112,0,2408448,1536,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,602112,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,38535168.0,19267584.0,0,0,0,0,401408,24576.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,256,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,100352,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,38535168.0,19267584.0,0,0,0,0,2408448,24576.0,0
BatchNormalization,0,0,602112,0,602112,0,2408448,1536,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,602112,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,86784
Conv,2709504.0,1354752.0,0,0,0,0,602112,6912.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,1536,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,12042240.0,6021120.0,0,0,0,0,125440,30720.0,0
BatchNormalization,0,0,31360,0,31360,0,125440,320,0
Transpose,0,0,0,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,15052800.0,7526400.0,0,0,0,0,752640,38400.0,0
BatchNormalization,0,0,188160,0,188160,0,752640,1920,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,188160,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,3386880.0,1693440.0,0,0,0,0,752640,8640.0,0
BatchNormalization,0,0,188160,0,188160,0,752640,1920,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,188160,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,15052800.0,7526400.0,0,0,0,0,125440,38400.0,0
BatchNormalization,0,0,31360,0,31360,0,125440,320,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,31360,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,15052800.0,7526400.0,0,0,0,0,752640,38400.0,0
BatchNormalization,0,0,188160,0,188160,0,752640,1920,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,188160,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,3386880.0,1693440.0,0,0,0,0,752640,8640.0,0
BatchNormalization,0,0,188160,0,188160,0,752640,1920,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,188160,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,15052800.0,7526400.0,0,0,0,0,125440,38400.0,0
BatchNormalization,0,0,31360,0,31360,0,125440,320,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,31360,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,15052800.0,7526400.0,0,0,0,0,752640,38400.0,0
BatchNormalization,0,0,188160,0,188160,0,752640,1920,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,188160,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,54720
Conv,846720.0,423360.0,0,0,0,0,188160,8640.0,0
BatchNormalization,0,0,47040,0,47040,0,188160,1920,0
Transpose,0,0,0,0,0,0,0,0,0
