Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_nasnet_large.onnx,nasnet_large
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Conv,21290688.0,10645344.0,0,0,0,0,1577088,3456.0,0
BatchNormalization,0,0,394272,0,394272,0,1577088,256,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,394272,0,0,1577088,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,175104
Conv,9834496.0,4917248.0,0,0,0,0,401408,6272.0,0
Conv,2207744.0,1103872.0,0,0,0,0,137984,1408.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,88,0
Relu,0,0,0,394272,0,0,1577088,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,115712
Relu,0,0,0,394272,0,0,1577088,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,175104
Relu,0,0,0,394272,0,0,1577088,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,28544
Transpose,0,0,0,0,0,0,0,0,0
Slice,0,0,0,0,0,0,1577088,0,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,5017600.0,2508800.0,0,0,0,0,401408,3200.0,0
Conv,2207744.0,1103872.0,0,0,0,0,137984,1408.0,0
Conv,9834496.0,4917248.0,0,0,0,0,401408,6272.0,0
Conv,2207744.0,1103872.0,0,0,0,0,137984,1408.0,0
Relu,0,0,0,394272,0,0,1577088,0,0
Transpose,0,0,0,0,0,0,0,0,0
AveragePool,0,0,100352,0,0,0,401408,0,0
Transpose,0,0,0,0,0,0,0,0,0
AveragePool,0,0,100352,0,0,0,401408,0,0
Conv,3380608.0,1690304.0,0,0,0,0,137984,2156.0,0
Conv,758912.0,379456.0,0,0,0,0,137984,484.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,88,0
BatchNormalization,0,0,34496,0,34496,0,137984,88,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,8673984.0,4336992.0,0,0,0,0,542124,1408.0,0
Conv,2207744.0,1103872.0,0,0,0,0,137984,1408.0,0
Conv,2207744.0,1103872.0,0,0,0,0,137984,1408.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,88,0
Relu,0,0,0,34496,0,0,137984,0,0
Relu,0,0,0,34496,0,0,137984,0,0
BatchNormalization,0,0,135531,0,135531,0,542124,88,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,135531,0,0,542124,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,39776
Conv,1724800.0,862400.0,0,0,0,0,137984,1100.0,0
Conv,758912.0,379456.0,0,0,0,0,137984,484.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,88,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,1100.0,0
