Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_resnet152.onnx,resnet152
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,32688
Conv,236027904.0,118013952.0,0,0,0,0,3211264,37888.0,0
BatchNormalization,0,0,802816,0,802816,0,3211264,512,0
Relu,0,0,0,802816,0,0,3211264,0,0
Pad,0,0,0,0,0,0,0,0,115712
MaxPool,0,0,0,1806336,0,0,802816,0,0
Identity,0,0,0,0,0,0,802816,0,0
Conv,25690112.0,12845056.0,0,0,0,0,802816,16640.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,512,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,231211008.0,115605504.0,0,0,0,0,802816,147712.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,512,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,3211264,66560.0,0
Conv,102760448.0,51380224.0,0,0,0,0,3211264,66560.0,0
BatchNormalization,0,0,802816,0,802816,0,3211264,2048,0
BatchNormalization,0,0,802816,0,802816,0,3211264,2048,0
Add,0,0,802816,0,0,0,0,0,0
Relu,0,0,0,802816,0,0,3211264,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,65792.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,512,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,231211008.0,115605504.0,0,0,0,0,802816,147712.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,512,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,3211264,66560.0,0
BatchNormalization,0,0,802816,0,802816,0,3211264,2048,0
Add,0,0,802816,0,0,0,0,0,0
Relu,0,0,0,802816,0,0,3211264,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,65792.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,512,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,231211008.0,115605504.0,0,0,0,0,802816,147712.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,512,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,3211264,66560.0,0
BatchNormalization,0,0,802816,0,802816,0,3211264,2048,0
Add,0,0,802816,0,0,0,0,0,0
Relu,0,0,0,802816,0,0,3211264,0,0
Conv,51380224.0,25690112.0,0,0,0,0,401408,131584.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,231211008.0,115605504.0,0,0,0,0,401408,590336.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,102760448.0,51380224.0,0,0,0,0,1605632,264192.0,0
Conv,205520896.0,102760448.0,0,0,0,0,1605632,526336.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,4096,0
BatchNormalization,0,0,401408,0,401408,0,1605632,4096,0
Add,0,0,401408,0,0,0,0,0,0
Relu,0,0,0,401408,0,0,1605632,0,0
Conv,102760448.0,51380224.0,0,0,0,0,401408,262656.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,231211008.0,115605504.0,0,0,0,0,401408,590336.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,102760448.0,51380224.0,0,0,0,0,1605632,264192.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,4096,0
Add,0,0,401408,0,0,0,0,0,0
Relu,0,0,0,401408,0,0,1605632,0,0
Conv,102760448.0,51380224.0,0,0,0,0,401408,262656.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,231211008.0,115605504.0,0,0,0,0,401408,590336.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,102760448.0,51380224.0,0,0,0,0,1605632,264192.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,4096,0
Add,0,0,401408,0,0,0,0,0,0
Relu,0,0,0,401408,0,0,1605632,0,0
Conv,102760448.0,51380224.0,0,0,0,0,401408,262656.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,231211008.0,115605504.0,0,0,0,0,401408,590336.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,102760448.0,51380224.0,0,0,0,0,1605632,264192.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,4096,0
Add,0,0,401408,0,0,0,0,0,0
Relu,0,0,0,401408,0,0,1605632,0,0
Conv,102760448.0,51380224.0,0,0,0,0,401408,262656.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,231211008.0,115605504.0,0,0,0,0,401408,590336.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,102760448.0,51380224.0,0,0,0,0,1605632,264192.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,4096,0
Add,0,0,401408,0,0,0,0,0,0
Relu,0,0,0,401408,0,0,1605632,0,0
Conv,102760448.0,51380224.0,0,0,0,0,401408,262656.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,231211008.0,115605504.0,0,0,0,0,401408,590336.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,102760448.0,51380224.0,0,0,0,0,1605632,264192.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,4096,0
Add,0,0,401408,0,0,0,0,0,0
Relu,0,0,0,401408,0,0,1605632,0,0
Conv,102760448.0,51380224.0,0,0,0,0,401408,262656.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,231211008.0,115605504.0,0,0,0,0,401408,590336.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,102760448.0,51380224.0,0,0,0,0,1605632,264192.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,4096,0
Add,0,0,401408,0,0,0,0,0,0
Relu,0,0,0,401408,0,0,1605632,0,0
Conv,102760448.0,51380224.0,0,0,0,0,401408,262656.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,231211008.0,115605504.0,0,0,0,0,401408,590336.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,1024,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,102760448.0,51380224.0,0,0,0,0,1605632,264192.0,0
BatchNormalization,0,0,401408,0,401408,0,1605632,4096,0
Add,0,0,401408,0,0,0,0,0,0
Relu,0,0,0,401408,0,0,1605632,0,0
Conv,51380224.0,25690112.0,0,0,0,0,200704,525312.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
Conv,205520896.0,102760448.0,0,0,0,0,802816,2101248.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,102760448.0,51380224.0,0,0,0,0,200704,1049600.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,231211008.0,115605504.0,0,0,0,0,200704,2360320.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,2048,0
Relu,0,0,0,50176,0,0,200704,0,0
Conv,102760448.0,51380224.0,0,0,0,0,802816,1052672.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,8192,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
