Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_resnet152v2.onnx,resnet152v2
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,35568
Conv,280057344.0,140028672.0,0,0,0,0,3810304,37888.0,0
Pad,0,0,0,0,0,0,0,0,125952
MaxPool,0,0,0,2143296,0,0,952576,0,0
BatchNormalization,0,0,238144,0,238144,0,952576,512,0
Relu,0,0,0,238144,0,0,952576,0,0
Conv,30482432.0,15241216.0,0,0,0,0,952576,16384.0,0
BatchNormalization,0,0,238144,0,238144,0,952576,512,0
Relu,0,0,0,238144,0,0,952576,0,0
Pad,0,0,0,0,0,0,0,0,63488
Conv,274341888.0,137170944.0,0,0,0,0,952576,147456.0,0
BatchNormalization,0,0,238144,0,238144,0,952576,512,0
Relu,0,0,0,238144,0,0,952576,0,0
Conv,121929728.0,60964864.0,0,0,0,0,3810304,66560.0,0
Conv,121929728.0,60964864.0,0,0,0,0,3810304,66560.0,0
Add,0,0,952576,0,0,0,0,0,0
BatchNormalization,0,0,952576,0,952576,0,3810304,2048,0
Relu,0,0,0,952576,0,0,3810304,0,0
Conv,121929728.0,60964864.0,0,0,0,0,952576,65536.0,0
BatchNormalization,0,0,238144,0,238144,0,952576,512,0
Relu,0,0,0,238144,0,0,952576,0,0
Pad,0,0,0,0,0,0,0,0,63488
Conv,274341888.0,137170944.0,0,0,0,0,952576,147456.0,0
BatchNormalization,0,0,238144,0,238144,0,952576,512,0
Relu,0,0,0,238144,0,0,952576,0,0
Conv,121929728.0,60964864.0,0,0,0,0,3810304,66560.0,0
Add,0,0,952576,0,0,0,0,0,0
BatchNormalization,0,0,952576,0,952576,0,3810304,2048,0
Relu,0,0,0,952576,0,0,3810304,0,0
Conv,121929728.0,60964864.0,0,0,0,0,952576,65536.0,0
BatchNormalization,0,0,238144,0,238144,0,952576,512,0
Relu,0,0,0,238144,0,0,952576,0,0
Pad,0,0,0,0,0,0,0,0,63488
Conv,70852608.0,35426304.0,0,0,0,0,246016,147456.0,0
BatchNormalization,0,0,61504,0,61504,0,246016,512,0
Relu,0,0,0,61504,0,0,246016,0,0
Conv,31490048.0,15745024.0,0,0,0,0,984064,66560.0,0
MaxPool,0,0,0,246016,0,0,984064,0,0
Add,0,0,246016,0,0,0,0,0,0
BatchNormalization,0,0,246016,0,246016,0,984064,2048,0
Relu,0,0,0,246016,0,0,984064,0,0
Conv,62980096.0,31490048.0,0,0,0,0,492032,131072.0,0
BatchNormalization,0,0,123008,0,123008,0,492032,1024,0
Relu,0,0,0,123008,0,0,492032,0,0
Pad,0,0,0,0,0,0,0,0,65536
Conv,283410432.0,141705216.0,0,0,0,0,492032,589824.0,0
BatchNormalization,0,0,123008,0,123008,0,492032,1024,0
Relu,0,0,0,123008,0,0,492032,0,0
Conv,125960192.0,62980096.0,0,0,0,0,1968128,264192.0,0
Conv,251920384.0,125960192.0,0,0,0,0,1968128,526336.0,0
Add,0,0,492032,0,0,0,0,0,0
BatchNormalization,0,0,492032,0,492032,0,1968128,4096,0
Relu,0,0,0,492032,0,0,1968128,0,0
Conv,125960192.0,62980096.0,0,0,0,0,492032,262144.0,0
BatchNormalization,0,0,123008,0,123008,0,492032,1024,0
Relu,0,0,0,123008,0,0,492032,0,0
Pad,0,0,0,0,0,0,0,0,65536
Conv,283410432.0,141705216.0,0,0,0,0,492032,589824.0,0
BatchNormalization,0,0,123008,0,123008,0,492032,1024,0
Relu,0,0,0,123008,0,0,492032,0,0
Conv,125960192.0,62980096.0,0,0,0,0,1968128,264192.0,0
Add,0,0,492032,0,0,0,0,0,0
BatchNormalization,0,0,492032,0,492032,0,1968128,4096,0
Relu,0,0,0,492032,0,0,1968128,0,0
Conv,125960192.0,62980096.0,0,0,0,0,492032,262144.0,0
BatchNormalization,0,0,123008,0,123008,0,492032,1024,0
Relu,0,0,0,123008,0,0,492032,0,0
Pad,0,0,0,0,0,0,0,0,65536
Conv,283410432.0,141705216.0,0,0,0,0,492032,589824.0,0
BatchNormalization,0,0,123008,0,123008,0,492032,1024,0
Relu,0,0,0,123008,0,0,492032,0,0
Conv,125960192.0,62980096.0,0,0,0,0,1968128,264192.0,0
Add,0,0,492032,0,0,0,0,0,0
BatchNormalization,0,0,492032,0,492032,0,1968128,4096,0
