Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_vgg16.onnx,vgg16
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Conv,173408256.0,86704128.0,0,0,0,0,12845056,7168.0,0
Relu,0,0,0,3211264,0,0,12845056,0,0
Conv,3699376128.0,1849688064.0,0,0,0,0,12845056,147712.0,0
Relu,0,0,0,3211264,0,0,12845056,0,0
MaxPool,0,0,0,3211264,0,0,3211264,0,0
Conv,1849688064.0,924844032.0,0,0,0,0,6422528,295424.0,0
Relu,0,0,0,1605632,0,0,6422528,0,0
Conv,3699376128.0,1849688064.0,0,0,0,0,6422528,590336.0,0
Relu,0,0,0,1605632,0,0,6422528,0,0
MaxPool,0,0,0,1605632,0,0,1605632,0,0
Conv,1849688064.0,924844032.0,0,0,0,0,3211264,1180672.0,0
Relu,0,0,0,802816,0,0,3211264,0,0
Conv,3699376128.0,1849688064.0,0,0,0,0,3211264,2360320.0,0
Relu,0,0,0,802816,0,0,3211264,0,0
Conv,3699376128.0,1849688064.0,0,0,0,0,3211264,2360320.0,0
Relu,0,0,0,802816,0,0,3211264,0,0
MaxPool,0,0,0,802816,0,0,802816,0,0
Conv,1849688064.0,924844032.0,0,0,0,0,1605632,4720640.0,0
Relu,0,0,0,401408,0,0,1605632,0,0
Conv,3699376128.0,1849688064.0,0,0,0,0,1605632,9439232.0,0
Relu,0,0,0,401408,0,0,1605632,0,0
Conv,3699376128.0,1849688064.0,0,0,0,0,1605632,9439232.0,0
Relu,0,0,0,401408,0,0,1605632,0,0
MaxPool,0,0,0,401408,0,0,401408,0,0
Conv,924844032.0,462422016.0,0,0,0,0,401408,9439232.0,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,924844032.0,462422016.0,0,0,0,0,401408,9439232.0,0
Relu,0,0,0,100352,0,0,401408,0,0
Conv,924844032.0,462422016.0,0,0,0,0,401408,9439232.0,0
Relu,0,0,0,100352,0,0,401408,0,0
MaxPool,0,0,0,100352,0,0,100352,0,0
Transpose,0,0,0,0,0,0,0,0,0
Flatten,0,0,0,0,0,0,100352,0,0
MatMul,205524991,102762496.0,0,0,0,0,16384,0,0
Add,0,0,4096,0,0,0,0,0,0
Relu,0,0,0,4096,0,0,16384,0,0
MatMul,33558527,16779264.0,0,0,0,0,16384,0,0
Add,0,0,4096,0,0,0,0,0,0
Relu,0,0,0,4096,0,0,16384,0,0
MatMul,8192999,4096500.0,0,0,0,0,4000,0,0
Add,0,0,1000,0,0,0,0,0,0
Softmax,0,0,1000,0,1000,1000,4000,0,0
Identity,0,0,0,0,0,0,4000,0,0
