Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_xception.onnx,xception
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Conv,21290688.0,10645344.0,0,0,0,0,1577088,3456.0,0
BatchNormalization,0,0,394272,0,394272,0,1577088,256,0
Relu,0,0,0,394272,0,0,1577088,0,0
Conv,437981184.0,218990592.0,0,0,0,0,3041536,73728.0,0
BatchNormalization,0,0,760384,0,760384,0,3041536,512,0
Relu,0,0,0,760384,0,0,3041536,0,0
Conv,13686912.0,6843456.0,0,0,0,0,3041536,2304.0,0
Conv,194658304.0,97329152.0,0,0,0,0,6083072,32768.0,0
BatchNormalization,0,0,1520768,0,1520768,0,6083072,1024,0
Relu,0,0,0,1520768,0,0,6083072,0,0
Conv,27373824.0,13686912.0,0,0,0,0,6083072,4608.0,0
Conv,389316608.0,194658304.0,0,0,0,0,6083072,65536.0,0
Conv,49561600.0,24780800.0,0,0,0,0,1548800,32768.0,0
BatchNormalization,0,0,1520768,0,1520768,0,6083072,1024,0
BatchNormalization,0,0,387200,0,387200,0,1548800,1024,0
MaxPool,0,0,0,3484800,0,0,1548800,0,0
Add,0,0,387200,0,0,0,0,0,0
Relu,0,0,0,387200,0,0,1548800,0,0
Conv,6969600.0,3484800.0,0,0,0,0,1548800,4608.0,0
Conv,198246400.0,99123200.0,0,0,0,0,3097600,131072.0,0
BatchNormalization,0,0,774400,0,774400,0,3097600,2048,0
Relu,0,0,0,774400,0,0,3097600,0,0
Conv,13939200.0,6969600.0,0,0,0,0,3097600,9216.0,0
Conv,396492800.0,198246400.0,0,0,0,0,3097600,262144.0,0
Conv,51380224.0,25690112.0,0,0,0,0,802816,131072.0,0
BatchNormalization,0,0,774400,0,774400,0,3097600,2048,0
BatchNormalization,0,0,200704,0,200704,0,802816,2048,0
MaxPool,0,0,0,1806336,0,0,802816,0,0
Add,0,0,200704,0,0,0,0,0,0
Relu,0,0,0,200704,0,0,802816,0,0
Conv,3612672.0,1806336.0,0,0,0,0,802816,9216.0,0
Conv,292225024.0,146112512.0,0,0,0,0,2283008,745472.0,0
BatchNormalization,0,0,570752,0,570752,0,2283008,5824,0
Relu,0,0,0,570752,0,0,2283008,0,0
Conv,10273536.0,5136768.0,0,0,0,0,2283008,26208.0,0
Conv,831014912.0,415507456.0,0,0,0,0,2283008,2119936.0,0
Conv,73056256.0,36528128.0,0,0,0,0,570752,745472.0,0
BatchNormalization,0,0,570752,0,570752,0,2283008,5824,0
BatchNormalization,0,0,142688,0,142688,0,570752,5824,0
MaxPool,0,0,0,1284192,0,0,570752,0,0
Add,0,0,142688,0,0,0,0,0,0
Relu,0,0,0,142688,0,0,570752,0,0
Conv,2568384.0,1284192.0,0,0,0,0,570752,26208.0,0
Conv,207753728.0,103876864.0,0,0,0,0,570752,2119936.0,0
BatchNormalization,0,0,142688,0,142688,0,570752,5824,0
Relu,0,0,0,142688,0,0,570752,0,0
